名称,地址,城市,电话
FPS电竞专区,齐齐哈尔市龙沙区卜奎南大街南市场小区,齐齐哈尔,
温玛电竞,齐齐哈尔市龙沙区水师公路民祥小区,齐齐哈尔,
玩时代网咖,神奇西路18号（七天优品酒店对面),黔西南州,17785978592
雷霆电竞,天马城3楼,黔西南州,18932077528
黑曼巴电竞馆(兴仁店),贵州省黔西南布依族苗族自治州兴仁市锦绣都会(民安路西),黔西南州,0859-6588789
尚喜电竞(网咖),黔西南布依族苗族自治州兴义市兴义路顶效客运站西侧约130米,黔西南州,
漫步电竞馆,黔西南布依族苗族自治州兴义市金水北路金桔苑小区,黔西南州,13314491587/13314491591
时代电竞,黔西南布依族苗族自治州兴义市神奇西路神奇路花园西侧约90米,黔西南州,
佐伊网咖,印象兴义6栋三楼,黔西南州,18083259507
极镜电竞,黔西南布依族苗族自治州兴义大道印象兴义5栋6楼,黔西南州,15885983492
AG电竞,梦乐城购物中心,黔西南州,18083446069
哇塞电竞馆(欢乐橙店),欢乐橙购物中心4楼,黔西南州,
烽巢电竞馆(枫林店),星月路花月综合楼,黔西南州,18985999805
尚机堂网咖,财富中心9栋二楼,黔西南州,19186904558
占星电竞,黔西南布依族苗族自治州兴仁市兴仁大道锦绣都会,黔西南州,
摩尔电竞网咖(里仁广场店),黔西南布依族苗族自治州兴仁市长兴路里仁·广场,黔西南州,18907457262
鸿旺电竞,黔西南布依族苗族自治州兴义市-万湖汇16栋2楼,黔西南州,
炫彩电竞馆,黔西南布依族苗族自治州安龙县安坡路龙御花园北侧约250米,黔西南州,
宏瑞达电竞馆,华联城2期2-7-101号,黔西南州,
烽巢电竞,永乐动路47号2层富兴猫猫城,黔西南州,18985999805
花菲璐电竞(万湖汇店),黔西南布依族苗族自治州兴义市桔泰路兴义市万湖汇小区,黔西南州,18985399077
W电竞社,桔康路天辰一品1层1-1-1号商铺,黔西南州,
掌趣电竞馆,黔西南布依族苗族自治州兴义市桔华路广发鼎尚城小区西南侧约120米,黔西南州,18386892898
燃羽电竞,翡翠台3栋一楼,黔西南州,18985951853
明悦电竞,丰都街道新建村八组祥隆单身公寓隔壁,黔西南州,18785917777
初魂壹号电竞馆,碧云路公园首府1栋2单元2楼,黔西南州,
峡谷电竞俱乐部,黔西南布依族苗族自治州兴义市峡谷大道布谷鸟北侧约260米,黔西南州,
888网咖连锁,兴仁市师范路31号烟草公司旁边,黔西南州,
不见不散网咖(闽东店),云南街66号博汇广场F1层,黔西南州,
义和网咖,桔山街道神奇东路康居广场三楼地标酒店对面商场1号门乘观光电梯上三楼,黔西南州,18084290011
超凡部落动漫娱乐,梦乐城1区3楼,黔西南州,
星年华动漫城(汇金购物中心金笔路店),汇金中心负一楼,黔西南州,
星年华动漫城(汇金购物中心金笔路店),汇金中心负一楼,黔西南州,
叁拾贰号电竞馆,黔西南布依族苗族自治州兴义市碧云路兴义市万湖汇小区东南侧约140米,黔西南州,
星年华动漫城(兴仁店),黄金社区长兴路长兴花园25号楼1层(久龙酒店隔壁),黔西南州,17585557899
杰拉网咖(兴义店),神奇东路96-134号2楼,黔西南州,17684234465
乐漫天动漫城,市府中路与人民路交叉口东南140米佳惠超市里面,黔西南州,19873947651
金州电竞(百汇广场店),黔西南布依族苗族自治州兴义市永定街花月小区南侧约80米,黔西南州,
遇见网咖(康禾街店),康禾街128号,黔西南州,17785977664
兴义小怪兽电竞酒店,黔西南布依族苗族自治州瑞金大道45号(盲聋哑学校南20米),黔西南州,
樂翻天动漫,神奇东路一格滚石一楼大厅内,黔西南州,
战霆娱乐生态(兴义梦乐城店),桔山街道梦乐城3区3楼(泰巧椰式大排档对面),黔西南州,
青春电竞,贵州省黔南布依族苗族自治州瓮安县绿城国际时代天街1617号,黔南州,
金城电竞馆,惠民东路山水田园城,黔南州,17674055439/18185456690
湘华电竞(河滨路店),贵州省黔南布依族苗族自治州都匀市河滨路与文明路交叉口东南40米,黔南州,
坚果电竞,贵州省黔南布依族苗族自治州都匀市公园北巷水岸铭门5楼,黔南州,
浪人网络龙腾网吧(金龙西路店),金龙西路5号,黔南州,13765454197
蚂蚁森林电竞馆,贵州省黔南布依族苗族自治州罗甸县罗斛西路33号,黔南州,
酷鱼电竞(黔南都匀万达广场店),斗篷山路227号万达广场3号口对面正新鸡排旁边电梯上二楼,黔南州,
艾克斯电竞(都匀万达店),黔南都匀万达广场5楼,黔南州,19723090145
头号玩家电竞馆,贵州省黔南布依族苗族自治州瓮安县乌江北街合力超市对面吉祥万家5层,黔南州,0854-2622212
飞宇电竞网咖(方圆荟·购物中心店),方圆荟购物广场2楼,黔南州,17785475308
北程电竞,斗篷山路269号黔南汽车商贸城7栋1层8室,黔南州,15185534971
若溪电竞网咖,贵州省黔南布依族苗族自治州都匀市匀东镇长通路,黔南州,
万兆电竞,贵州省黔南布依族苗族自治州福泉市马场坪街道马场坪艺苑小区,黔南州,
梦羽电竞馆,贵州省黔南布依族苗族自治州福泉市平越壹号,黔南州,
湘华电竞酒店(都匀旗舰店),广惠街道剑江中路39号,黔南州,
大玩家(都匀万达店),经济开发区斗篷山路227号万达广场3F-B,黔南州,17612116762
宅家玩ps5·switch·xobx,广惠办事处剑江中路118号物资大厦18跃19层121号,黔南州,16685442332
熊掌电竞社,匀中大厦10层1003号,黔南州,
时空猎人(星力城店),迎宾路66号南州国际星力城4F,黔南州,15308545388
莱伯乐电竞俱乐部,南洲国际御江府A区商铺2-5,黔南州,18085455560
欢乐谷亲子电玩城(新都汇国际购物广场店),贵州省黔南布依族苗族自治州都匀市民族路新都汇国际购物广场F1,黔南州,
云逸宝摇杆游戏机(芒果星空间影城4DX星桥店),金山办事处洒金北路与葛镜东路交叉口麒龙乐都购物广场星空影城内大厅前台旁,黔南州,
骐骐动漫城,马场坪街道金山南路交二队1号门面,黔南州,
巅峰电竞(金山北路店),黔南布依族苗族自治州福泉市金山北路御景新城西侧,黔南州,
云逸宝摇杆游戏机(万达影城都匀万达PRIME店),斗篷山路万达广场5楼万达影城休息区前台旁,黔南州,
繁星电竞,黔南布依族苗族自治州福泉市洒金北路金域龙庭西南侧约190米,黔南州,
梦想的游戏小屋,星乐城尚品台球旁,黔南州,
星玩城主题乐园,贵州省黔南布依族苗族自治州福泉市麒龙乐都购物公园C8二楼55-68号门面,黔南州,18684115145
嗨乐电玩城,黔南布依族苗族自治州福泉市朝阳路中心城,黔南州,
新城电竞中心,古州镇城北新区321国道三水榕城4栋二,黔东南州,18685706976
电竞网咖(飞云路店),贵州省黔东南苗族侗族自治州黄平县飞云路汇龙湾商业广场2楼,黔东南州,
宜博电竞馆(三穗分店),贵州省黔东南苗族侗族自治州三穗县东门南路8号,黔东南州,13765527766
湘华电竞(凯里万达广场店),环城东路1265号万达广场F2层,黔东南州,
金克丝电竞,龙泉大道269号,黔东南州,13027398450
星辰电竞,黔东南苗族侗族自治州天柱县中山路东方明珠西南侧约40米,黔东南州,
盘龙电竞馆,盘龙街58号大菜园广场旁边,黔东南州,13985283616/13985286907
振华网吧(文化街店),云峰大厦西南门旁,黔东南州,
新百汇电竞,市府东路6号,黔东南州,13751348913
佳利网咖,文化南路2号文研所门面,黔东南州,15185576288
NICE电竞馆(琉森堡·万国城店),凯里经济开发区春晖东大道2号1栋1层1-1号,黔东南州,17685256972
沐舟电竞网咖,凯棉路24号,黔东南州,18485474694
网游世界网咖,320国道捷讯网络会楼下,黔东南州,18084328361
超音速网吧(儛源路),北门街与康平路交叉口南80米,黔东南州,
启点电竞,黔东南苗族侗族自治州台江县苗疆东大道苗疆商贸城东侧约60米,黔东南州,
梦时代电玩城(凯里国贸店),永乐路永乐国贸3楼,黔东南州,18485464546
柒游电玩社·PS5·Switch·赛车模拟(凯里方圆荟购物广场店),贵州省黔东南苗族侗族自治州凯里市大十字方圆荟公寓楼7楼731号,黔东南州,19885389527
独流电竞馆(药材综合大楼店),北京西路大十字街道8号药材综合大楼B1层,黔东南州,0855-3553222
虎贲电竞,州建公司苹果山花园一楼,黔东南州,13688559808
9号电竞,博南路5号荷香居3号楼-1层9、10号门面,黔东南州,13595598855
时空猎人(凯里东方爱琴海购物中心店),东方爱琴海购物中心L3层L312、L313、L315号铺,黔东南州,15308545388
三棵树劲松网吧(电竞室),贵州省黔东南苗族侗族自治州凯里市X892(南花街),黔东南州,18085554992
昕懿网咖,宁波路33号正,黔东南州,18386772066
天源网吧(北京西路店),北京西路41号,黔东南州,13195158877
玖捌电竞,黔东南苗族侗族自治州凯里市北京东路6号二楼,黔东南州,08558252192
ET—House(外星人电竞),贵州省黔东南苗族侗族自治州凯里市大十字街道莲花巷31号,黔东南州,
大玩家(丹寨旅游小镇店),苗年广场商铺s-01,黔东南州,0855-3698345
恒天网络旗舰店(韶山北路店),贵州省黔东南苗族侗族自治州凯里市韶山北路8号凯旋公馆3楼,黔东南州,15329559922
星际壹号电竞酒店(凯里九方购物中心店),黔东南苗族侗族自治州东方广场2幢1单元8层,黔东南州,
沙糖桔电玩·ps5·switch,北京西路8号药材综合大楼7楼718室,黔东南州,18984498190
卓漫潮玩(万达广场店),环城东路1265号万达广场三楼3005铺(万达广场内三楼中间扶梯旁),黔东南州,18078799668
头号玩家电竞网咖(官渡路店),黑龙江省黑河市爱辉区官渡路12号,黑河,15945651234
辉岩电玩城,黑龙江省黑河市嫩江市双山镇1委新天地-D座附近23米,黑河,13214662777
桔子电竞网咖,龙滨路74号,黑河,18545640521
加勒比网咖(中央街店),中央东大街256号（亮城家园底商）,黑河,15945651234
无限斗主机体验馆,官渡路7号,黑河,18814652005
无忧电竞,黑河市北安市乌裕尔大街世贸国际西南侧约50米,黑河,
A+卓威电竞馆(福民大街店),福民大街与嫩兴路交叉口东南80米,黑河,
纵横网络(龙升农贸市场店),东北亚购物公园东南194号,黑河,
118号电竞馆(东北亚购物公园店),黑河市北安市龙江路148号东北亚购物公园,黑河,
电竞馆,黑河市嫩江市繁华路龙圣大酒店西北侧约140米,黑河,
永新电竞,交通路32号天桥旁(K歌王斜对面),黄石,0714-6229960
桔子红了电竞星空店(团城山店),团城山菜场小李子旁老厨房3楼,黄石,0714-3959588-0714
桔子红了电竞爱尚店(摩尔城店),湖北省黄石市黄石港区武汉路193号摩尔城e座5栋209室,黄石,13117026380
桔子红了电竞(大世界店),兴国大道73-5号,黄石,18071852100
桔子红了电竞(水利局新贵族店),兴国大道21号(邮政银行隔壁),黄石,0714-7325566/18071852100
芒果电竞网吧,兴国镇城东新区白杨村武阳绿苑小区二期1幢2层201铺,黄石,
亿豪电竞网咖(湖师东二门店),社区工作管理委员会磁湖路23号副2号,黄石,
桔子红了电竞(莲花湖店),莲花湖1号南区5号楼幢202铺,黄石,18672022107
黑马电竞馆(城东店),兴国镇华成新都铁铺路路千瑟舞蹈艺术旁边,黄石,17762955559
黑马电竞馆,湖滨路与俞家湾路交叉口东200米,黄石,15826954908
银海电竞,黄石市黄石港区磁湖路3号2楼,黄石,17771166668
古剑魂电竞(团城山店),腾龙·龙湾一品,黄石,0714-6505888
爱电竞广场·网咖·棋牌·台球,澄月街道武汉路31-3号(万利大厦A-B栋第3层301),黄石,17282382207
唯e电竞馆(吾悦店),东岳路街道伍桥还建楼1期西侧9-1号商铺,黄石,13297667999
极限网咖(万达店),花湖大道30号万达广场东楚步行街SA5-1063号,黄石,18872760156
杰拉电竞馆(拾年店),观山路36号天怡嘉园2楼,黄石,
公寓电竞房,黄石市黄石港区磁湖路博雅花园东侧约50米,黄石,
久阳电竞网咖,青龙山路168-4-12号二楼,黄石,13707235255
蓝悦电竞,金湖大道港湖还建楼-一期东南侧约30米,黄石,0714-8738881
桔子红了电竞星空店(团城山店),团城山菜场小李子旁老厨房3楼,黄石,0714-3959588-0714
君子网友俱乐部,花湖开发区湖滨大道1939号,黄石,0714-6529393
乐屿电竞酒店,湖北省黄石市黄石港区黄石大道1345号,黄石,
艾上电竞网咖(和德天下店),东风路街道大冶大道108号荟萃北路交汇处1层（原风华酒店）,黄石,0714-8600888
水木年华网咖(湖师东二门店),沈下路152号（湖师东二门对面）,黄石,13995977676
古剑魂网咖(金港步行街店),下陆大道39-2号,黄石,13177322597
天方电竞酒店(万达广场店),黄石港区湖滨大道人力资源和社会保障局旁,黄石,
必成网咖,百花还建小区1期,黄石,13995989224
红灯笼网咖,磁湖路48号-1栋-副5号,黄石,18934663579
夜色网咖,华新路20号2栋副1号,黄石,
春天乐酷电竞,黄石市黄石港区黄石大道黄石港交巡警小区,黄石,0714-6459090/18108690031
清新网吧(颐阳路店),颐阳苑小区1栋6室,黄石,0714-6220530
飞渡网吧,刘韦线还建楼底商,黄石,13297212222
杰拉网咖(琪豪花园店),观山路琪豪花园2楼,黄石,15172112089
如意网络空间,老下陆火车站候车大厅,黄石,
中和网络俱乐部,发展大道60号中和小区商铺46号,黄石,
终极在线网咖(万利大厦店),社区工作管理委员会武汉路31号,黄石,0714-6266576
联讯网咖,武汉路148号歌舞团院内,黄石,
星羽网咖(上冯路店),上冯路18号,黄石,
天域网咖(黄石港区经济和信息化局北),黄石大道55号附2号,黄石,15971536113
X·PARTY(黄石店),广会路10号,黄石,
艾上网咖(运翔店),新冶大道59-9（怡景花苑门口）,黄石,
BUFF电竞网咖,黄石市大冶市大冶大道都市·阳光花园,黄石,
忆元素宜博电竞生活馆(两湖天下店),黄石市大冶市东风东路两湖天下1号楼2-5号门面,黄石,15897755676
桔子红了E·宜博电竞馆(劳动路店),劳动路79号,黄石,13886470135
东风云电竞(荟萃路店),黄石市大冶市荟萃路伍家垅集贸市场东北侧约30米,黄石,
腾飞电竞馆(观山路店),湖北省黄石市大冶市观山路20号,黄石,13872051428
卓威电竞体验馆(青龙山路店),黄石市下陆区青龙山路国秀园东侧,黄石,
茶花网咖,黎新路3号栢景雅居翠竹轩综合楼C幢2号,黄山,13365596098
奇幻时光·娃娃机,滨江西路1号屯溪河街16幢101室,黄山,18255920999
爱玩电竞(清华苑店),黄山西路60号清华苑2楼,黄山,0559-2551977/18505599655
扶摇网咖,黎新路3号柏景雅居翠竹轩综合楼B幢5号、6号,黄山,18855993240
无忧电竞网咖,熙城国际A座3楼,黄山,05592557888
电竞体验馆,黄山市屯溪区新园东路前园上新新村北侧,黄山,
欧拉电竞·网吧,前园南路1-5号,黄山,15222999990
飞扬竞技网咖,玫瑰花城西区2幢6号商铺,黄山,13645595268
仁和网吧(戴震路店),昱西街道,黄山,13905595308
麦嘎网咖,太平花苑1栋F2(中通广场对面),黄山,18955971287
飞飞网咖(优盛派克黄山旗靓店),黄山东路33-1号附近,黄山,
SUPER101壹零壹潮漫电玩(黄山太平洋购物中心店),黎新路太平洋购物中心3F层3F-008号商铺,黄山,
轻·电竞生活馆,安徽省黄山市屯溪区跃进路17-17-25号,黄山,
非比电竞馆,园艺路2号鼎天广场,黄山,
摩少电竞,安徽省黄山市屯溪区洽阳路阳湖元一大观2楼,黄山,13305596839
达拉然电竞酒店,新安南路4号,黄山,
嗨范电竞酒店,徽州大道19-1御龙花园东门,黄山,
OnlineSpace全场无烟电竞馆(新园东路店),新园东路25-15号,黄山,
星雨网吧(高凤路店),高枧村28号,黄山,18005590158
头号玩家网咖(岩寺下街店),岩寺镇黄山路78号财富广场D幢14-16室,黄山,17755915551
慢姑娘·陌野·泳乐电竞·悦动篮球·团建聚会别墅轰趴馆(桃花源店),齐云大道8号,黄山,
休宁县摩羯网咖俱乐部,萝宁街富宁时代商业广场14栋14A-6号,黄山,13675551937
飞翔网咖(徽州财富广场店),徽州财富广场,黄山,
SUPER101壹零壹潮漫电玩(黄山太平洋购物中心店),黎新路太平洋购物中心3F层3F-008号商铺,黄山,
莫斯电竞,安徽省黄山市屯溪区阳湖镇新安南路,黄山,13965522685
在线空间电玩社(大润发店),商业步行街A区4幢31号一楼,黄山,13776416761
云逸宝游戏厅(万达影城天盈广场店),黄山市昱东街道社屋前路1号天盈财富广场四层店内大厅前台边上,黄山,
冲浪者网吧(新安北路店),新安北路8-7号,黄山,4008845966
宜博电竞馆(鑫成国际广场店),青海省黄南藏族自治州同仁市德合隆北路鑫成国际广场3楼,黄南州,13897531131
卓威电竞馆(沿山西路店),青海省黄南藏族自治州河南蒙古族自治县G213(沿山西路),黄南州,13897031131
德玛西亚电竞酒店,黄南藏族自治州夏琼北路中国石油旁,黄南州,
宜博电竞酒店(土默特南路店),察汗丹津大街034号,黄南州,
宜博电竞馆(河曲路店),黄南藏族自治州河南蒙古族自治县河曲路优干宁镇人民政府北侧约220米,黄南州,15597058999
尖扎阿卡丽电竞馆,青海省黄南藏族自治州尖扎县坎布拉镇紫云路黄河新村5＃-1-6,黄南州,
VTOP电竞俱乐部,(东门路)50号,黄冈,13227312222
凯琳电竞,北川路特99号,黄冈,15072779977
时分网咖,新港大道辅路清华花园2栋3栋1单元115号,黄冈,
新浪潮网咖(民主路店),香港岛公寓,黄冈,15997374606
德玛电竞馆(赤壁大道店),赤壁大道6号,黄冈,13317257551
摩啡电竞馆(翡翠一品店),赤壁大道76号翡翠广场负一层7-FO1层,黄冈,0713-8888566
星火电竞馆(太华国际店),西湖三路太华国际1号门3楼,黄冈,18571521888
新星网咖,利民路22号,黄冈,15102744449
星脉电竞(中洲慧谷店),明珠大道食尚街负一层（黄冈师范学院北门旁）,黄冈,18571521888
蜂鸟电竞网咖(胜利新街店),体育路1号,黄冈,15098000101
威+电竞馆(人民防空大厦店),黄州大道37号威加电竞（人民防空大厦2楼）,黄冈,18071203020
萌贝尔网咖,东门路37号纳金川宾馆二楼,黄冈,17371332888
龙腾网吧(黄州开发区学生街店),黄冈经济开发区新港二路15-5号,黄冈,18771624371
屠龙网吧,东门路260号,黄冈,
星潮电竞馆(黄冈店),新港大道全明星体育公园入口处50米,黄冈,
E+电竞生活馆,明珠大道80号明珠广场D幢2层201号,黄冈,0713-8208897
新佳源网吧,宝塔大道43号宏达大厦,黄冈,13995939322
心随缘网吧,程家湾45号,黄冈,18171766017
小叮当电玩社万达主题店PS5·Switch(万达店),中央公馆7栋商铺120室,黄冈,18772500502
迪爽电竞馆,三台河社区一组东门路119号西二楼,黄冈,19172326151
嘿客电竞,秦家塆-26号楼,黄冈,
百鹰电竞酒店,黄冈市赤壁北路三大碗斜对面,黄冈,
K电竞,黄冈市黄州区东门路东方京城西北侧约60米,黄冈,
德玛电竞馆(西湖店),宝塔大道86号城市便捷,黄冈,13636073999
拾柒电竞酒店(宝塔路店),湖北省黄冈市黄州区宝塔大道78号,黄冈,
潮玩电玩城,黄州区三能教育广场底商,黄冈,
智多堡游乐(东坡外滩店),环湖路东坡外滩明月广场C3栋1楼,黄冈,18163022613
大玩家(黄冈黄州万达店),赤壁大道与赤壁二路交叉口万达广场三楼南,黄冈,0713-8383558
图灵精品酒店(黄冈师院店),黄冈市黄州区珠宝路博大学府名苑南侧约50米,黄冈,
联想电竞网吧(科普巷店),江西省鹰潭市余江区府西巷4号b栋,鹰潭,0701-5886667
梦幻电竞馆(城东店),孺东路阳光时尚广场a座1楼,鹰潭,
小熊电竞(凯翔新天地店),胜利西路8号凯翔新天地,鹰潭,15307011916
动力网咖(天虹店),信江新区象山路百盛名仕府西区南门12栋2层,鹰潭,0701-6258010
蛋壳电竞馆,经六路6号信江帝景A6、A9号楼商201-2室,鹰潭,19307036751
动力网咖(亿都店),财富广场2楼,鹰潭,0701-5883616
动力电竞(御景壹号店),御景壹号6栋商202室,鹰潭,18970192365
动力网咖(龙虎山北大道店),龙虎山大道18号(汽车站旁),鹰潭,0701-6258009
梦幻网咖(雄石西路店),雄石西路财富大厦西边二楼,鹰潭,18607010288
动力电竞(贵溪店),建设路阳光时尚广场以西兰亭苑B-7-8楼102室,鹰潭,0701-3775800
青云电竞,梅园大道维尔曼奇大酒店东北侧约50米,鹰潭,19107013013
虎牙电竞(擂鼓岭商住广场店),叶家塘路21擂鼓岭商住广场F2层,鹰潭,18607010288
牧马人网咖,一号大道桂花苑,鹰潭,
动力网咖(广场店),环城西路2号原步步高二楼,鹰潭,0701-6258002
动力电竞(西湖店),西湖路29号汉庭酒店二楼,鹰潭,
动力网咖(林荫路店),林荫西路江南水都一栋2层店面,鹰潭,0701-6258003
动力电竞(茨荸弄店),鹰潭市贵溪市解元坊贵溪市好孩子幼儿园北侧约70米,鹰潭,07013676668
云顶电竞馆,鹰潭市贵溪市建设路都市佳苑(建设路),鹰潭,18607010288
皇后电竞馆,江西省鹰潭市贵溪市雄石西路1号,鹰潭,
语情网吧,冠锦城牡丹苑D12栋,鹰潭,
九洲主题网咖,交通路17号,鹰潭,
辛迪电竞,鹰潭市月湖区交通路银座广场(wo店)南侧约160米,鹰潭,
动力网咖(梅园店),胜利东路189号,鹰潭,0701-6258001
